gs1dm	K	P
item00000001	box00000001	pallete00000001
item00000002	box00000001	pallete00000001
item00000003	box00000001	pallete00000001
item00000004	box00000001	pallete00000001
item00000005	box00000001	pallete00000001
item00000006	box00000001	pallete00000001
item00000007	box00000001	pallete00000001
item00000008	box00000001	pallete00000001
item00000009	box00000001	pallete00000001
item00000010	box00000001	pallete00000001
item00000011	box00000001	pallete00000001
item00000012	box00000001	pallete00000001
item00000013	box00000001	pallete00000001
item00000014	box00000001	pallete00000001
item00000015	box00000001	pallete00000001
item00000016	box00000001	pallete00000001
item00000017	box00000001	pallete00000001
item00000018	box00000001	pallete00000001
item00000019	box00000001	pallete00000001
item00000020	box00000001	pallete00000001
item00000021	box00000001	pallete00000001
item00000022	box00000001	pallete00000001
item00000023	box00000001	pallete00000001
item00000024	box00000001	pallete00000001
item00000025	box00000001	pallete00000001
item00000026	box00000001	pallete00000001
item00000027	box00000001	pallete00000001
item00000028	box00000001	pallete00000001
item00000029	box00000001	pallete00000001
item00000030	box00000001	pallete00000001
item00000031	box00000001	pallete00000001
item00000032	box00000001	pallete00000001
item00000033	box00000001	pallete00000001
item00000034	box00000001	pallete00000001
item00000035	box00000001	pallete00000001
item00000036	box00000001	pallete00000001
item00000037	box00000001	pallete00000001
item00000038	box00000001	pallete00000001
item00000039	box00000001	pallete00000001
item00000040	box00000001	pallete00000001
item00000041	box00000002	pallete00000001
item00000042	box00000002	pallete00000001
item00000043	box00000002	pallete00000001
item00000044	box00000002	pallete00000001
item00000045	box00000002	pallete00000001
item00000046	box00000002	pallete00000001
item00000047	box00000002	pallete00000001
item00000048	box00000002	pallete00000001
item00000049	box00000002	pallete00000001
item00000050	box00000002	pallete00000001
item00000051	box00000002	pallete00000001
item00000052	box00000002	pallete00000001
item00000053	box00000002	pallete00000001
item00000054	box00000002	pallete00000001
item00000055	box00000002	pallete00000001
item00000056	box00000002	pallete00000001
item00000057	box00000002	pallete00000001
item00000058	box00000002	pallete00000001
item00000059	box00000002	pallete00000001
